RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2551.4488753695005,2566.737694115771,2586.2023304957693,2611.942319732659,2633.715007516762,2656.647369567138,2669.5968529357024,2680.5716200034162,2685.465346464481,2683.154029113882,2670.25354301717,2653.9470992428096,2645.887432025233,2647.8477679570915,2657.6163965080195,2672.12866544836,2689.8031490970016,2707.9962724747325,2721.7659984097586,2727.5980694961304,2726.4548325284636,2716.7158307883983,2701.8842090951257,2678.017653691395,2672.2120616701723,2671.7632962069933,2688.433565965504,2701.3736727729083,2723.195816293538,2743.194377377394,2756.0085044906773,2760.5725855285536,2752.355264101881,2732.413214553489,2707.391928490433,2688.708950291998,2685.9598707192426,2694.584468482678,2712.0815692614296,2734.8524908534173,2757.814043353059,2779.3002881688794,2794.7153745305586,2805.0059027490624,2805.996225524276,2794.0639509125185,2776.0494581588564,2760.486092910813,2756.22619235212,2765.521708675915,2782.5499571614723,2806.162495832206,2832.326271036055,2858.957042318336,2878.4576419133055,2890.944974498461,2892.8302178618787,2887.5841007930785,2869.5104045016856,2857.3595916356676,2854.4693853527247,2873.3394248878403,2887.5448035593113,2877.172900815403,2848.150271389185,2808.159618996808,2768.892716030905,,,2566.931778165932,2520.323439355541,2495.2427954618565,2485.0401621005153,2498.1431946457683,2526.1600787721513,2568.3672680083287,2625.920754210648,2698.343375160785,2780.414238919793,2856.0912667163457,2919.424019061785,2954.448868033019,2981.648664196107,2997.9953235534704,3027.0173067849455,3063.5122788864037,3109.1256949687454,3159.0477782451685,3219.7169913900952,3284.832766497203,3339.1818750551774,3371.0006964863364,3374.243513722415,3353.4555353745377,3310.6128340146906,3278.928169112973,3270.9328754398944,3283.1078128695904,3305.3068081279807,3339.6870642595027,3384.4207189563053,3428.9407219708837,3459.511277468829,3469.870401626972,3466.3690569794658,3442.8817837830975,3405.742209524902,3375.7736400518024,3370.299762770899,3392.8348505271165
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1852.8740915005233,1868.444723109755,1884.3640667904701,1897.9728310502776,1920.0876740739993,1930.042604586558,1944.5458828109627,1954.7627293647138,1971.5839198938295,1982.6322976484803,1986.5077698664452,1992.3847275991857,2005.6322245222318,2026.2733292656244,2043.0514662943144,2050.7131924878213,2066.128833349065,2083.3570143387856,2094.595983911462,2091.7066516092827,2086.811730331089,2088.350266791058,2087.916851724365,2088.222939630053,2110.2896578376917,2131.4358891689776,2165.633439773599,2175.4185564933787,2191.459780228465,2199.400921396286,2212.06037356402,2221.9115234436754,2223.261900762031,2226.9772870051793,2230.3997930141236,2239.2927248941023,2248.667829224031,2263.4931956619703,2271.9755986653004,2282.873907493056,2289.94290670014,2306.6929607016214,2319.4254124703307,2334.052226353013,2341.1637375592477,2343.4074180932303,2343.9794628844083,2347.4559767053292,2353.6788241131057,2356.5506381714367,2368.680002125344,2379.7816532443917,2393.9846271257957,2405.757718584909,2416.8757654675164,2424.903309086528,2427.03698236109,2425.8846371475765,2423.2896300777584,2424.5002136885955,2427.5983858830477,2433.498785898176,2431.146105933686,2419.7664593506133,2405.0381046298826,2394.9469141296536,2391.304396326614,2385.8176097305936,2374.4185034177635,2363.8381367685956,2357.754761333466,2353.397575710469,2352.030676714152,2349.9055136757675,2357.7967430096314,2367.667725807168,2389.309220506646,2420.521373614721,2463.3743118425655,2511.7576292100107,2548.7368579599556,2574.30921299524,2589.488625184832,2608.268494349236,2628.748939999007,2649.384832000264,2669.0840920856344,2692.6776354895565,2721.5537428653624,2745.470734338138,2768.9522513304337,2784.579681392326,2796.606779109114,2790.725707129109,2783.5108364050766,2775.432920488852,2772.0789330062967,2777.1992069542453,2788.1713121894054,2802.1388816197427,2805.838436794388,2808.7390715062666,2812.360956302216,2819.5303959028347,2819.741282782332,2812.882677783849,2796.678400992321,2782.8795090861204,2786.6710355258574,2791.4778012362663
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1195.6693761590657,1199.0232945249197,1205.3115140001717,1216.3447196594852,1226.8778210859223,1236.8105380864542,1237.2700311504766,1237.731081293667,1231.3700919260948,1228.2894115523418,1225.9918814046428,1226.0229268381856,1226.6296113810936,1226.7074283266754,1232.6324325444893,1239.0032827981302,1243.5949502585308,1243.9711082112944,1241.7233778840434,1237.2025564977132,1229.1207548046063,1217.2095123378094,1205.7310062273968,1199.4179957692315,1209.3785024744777,1224.083060477709,1239.4358636702411,1242.1900937313399,1249.9334157107073,1249.9661917224148,1249.9331602760383,1243.9652721229263,1250.7947149855381,1259.9347261433952,1273.2062805125397,1284.5171468949397,1286.9428106078262,1293.430038166108,1290.4064109143578,1299.0530810549878,1299.8975502489006,1306.1772671664708,1305.301253203455,1303.0131426438493,1298.370335546564,1296.9802791608613,1299.873231284091,1300.7919427305712,1302.6950075980344,1299.9288211054038,1304.4737727670627,1309.1524427143222,1318.3528591969075,1325.8048725251301,1328.9567285519813,1329.2480680344934,1325.1028075887023,1324.3819706009024,1323.1936180189734,1327.4549406236285,1329.7690088148715,1336.5015879306738,1342.2284786020887,1338.4247859009267,1330.6446291145803,1321.015351407016,1323.48731258694,1325.6774911219845,1325.1369912593748,1325.939124738665,1328.0232402757772,1326.3951985986253,1324.4789292101595,1319.1165379791894,1325.591612304614,1337.8194293470074,1360.6413263771053,1388.6819320877864,1414.2076275267607,1435.9907173411646,1448.3589078656128,1455.508270656439,1459.1500637609263,1460.3880287427487,1467.1481232130436,1475.436772133478,1486.0658515285024,1496.7089649795894,1508.9974422007747,1523.313394935198,1532.605395402266,1537.9082475123473,1535.900827164516,1532.4709638728764,1529.0695786574922,1526.8439564672142,1530.5479777071116,1537.5161452262196,1546.7754024775613,1552.6114375818447,1561.5470405241053,1570.7951988956277,1578.4903716269368,1577.4363705963576,1574.8367129622604,1571.0401028255958,1569.1349384977332,1569.5219741752421,1570.0963350181958,1572.2500761629317
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1535.1101144103664,1544.2257534644928,1555.5717545390994,1566.7824092807655,1581.687840802389,1593.3616308915362,1600.0224080104103,1602.1970092684746,1595.5406303740724,1586.2355981211456,1576.3141618219404,1574.971640331043,1586.8828981299866,1599.4051409992867,1614.5071308117222,1622.5713392343753,1633.7220610556737,1646.0152866342091,1654.792465526529,1659.2664083740485,1649.5173593499992,1630.9441304289046,1608.6768185348778,1596.0610320257751,1607.7643429591287,1630.1237074780274,1655.8798815107384,1668.6377424659343,1680.8317342214698,1687.0943437824276,1688.9607183898265,1681.9856177802142,1671.2761350076964,1657.1393422885938,1646.7683886405453,1645.6956567952404,1654.5147468177274,1669.7519336949338,1683.2295141177433,1696.9624747895855,1708.4708333880844,1719.5598769351154,1723.4767606740684,1718.6373335428505,1703.4411510020482,1688.270022220075,1679.2780429008264,1681.0506964649055,1693.0484642283068,1706.37714743222,1724.7230622902662,1739.247261117668,1752.595886416614,1761.1555273535569,1765.5892664022927,1768.0461106580967,1761.4435234108016,1751.455065477423,1739.5557184492238,1734.6496901207693,1744.7644515334748,1760.3728562279432,1776.1757826715439,1776.4731342109237,1773.3311870819628,1768.2118506667402,1764.6665111740258,1751.7810614688256,1727.691792881914,1694.1792755488443,1667.4783963028392,1653.51590019482,1651.9174190695744,1662.8236155275195,1687.2281015465103,1721.9219612599145,1756.1891862506527,1783.0667905430216,1801.298505250702,1812.125863292179,1813.227233037127,1811.357715736499,1807.4565459666544,1814.9597404805268,1831.6581699687958,1854.5665486784817,1880.607578082701,1905.91261893555,1933.0428072948976,1952.8871315967556,1969.888620250954,1975.4190917194987,1975.041209485233,1970.0105687822397,1963.1028945210376,1961.9858189846746,1970.5206074560904,1985.9832029078889,2005.7258410597976,2024.7563666610897,2051.5156213247346,2074.5170432594155,2086.9316472956175,2090.0919390068866,2079.5900528896145,2063.2125747607465,2047.8240115279064,2050.3352972174566,2064.268033011677,2086.6361647397976
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,972.108311447163,975.7738251135279,982.6461107792828,991.1004719141481,999.9157185820147,1007.2678234218077,1008.1851230074142,1006.7095346258549,1006.3298002959827,1010.6526586313347,1012.6745365724078,1013.0428361784241,1013.8223186033409,1017.8568732567902,1025.0289032876349,1032.8956086437756,1038.8057383406826,1041.3656352994035,1043.0717999604858,1045.0160240767416,1045.0949312596401,1041.51356205378,1039.4817691665708,1040.004926728463,1048.1853024398517,1055.3008302068176,1063.9323210168386,1068.337654225643,1074.0883812752288,1081.5693923242268,1085.0656418780443,1084.3694749802205,1080.0264938784114,1076.7761145423594,1073.982520342742,1074.1227780787265,1074.8576401288392,1078.424732091273,1083.631669002382,1089.9795511068762,1097.0128730548379,1103.3019819356082,1110.172019854512,1115.6371370509867,1115.9292668507578,1115.9637962117954,1114.1813102393194,1112.8425809223768,1113.2946785296874,1117.0643452084726,1124.4041396808086,1130.6324002425072,1136.1160811057084,1140.972250254509,1147.4980023386377,1156.7377953752743,1160.7351767793311,1158.73159847838,1149.8168908854398,1147.4307677740674,1147.609458390478,1153.0218201951352,1155.9858983748902,1157.433851929897,1155.9933194925813,1157.094325230006,1162.4981803995747,1169.2427825897028,1173.0061439359747,1174.2743037908629,1174.7343225160753,1176.693173182142,1176.2883322942148,1178.6531346083596,1184.9261491413456,1200.4941146252347,1218.4100898222907,1239.28848302163,1264.0039448742089,1289.8931258736168,1311.2163242298404,1321.9115334828605,1326.9808204980743,1332.4970388582096,1337.9816533485885,1346.0768119877491,1357.3090823328482,1370.493481700067,1387.532029920042,1398.1882772132506,1412.0110587170757,1413.7569564578791,1412.5459764644402,1401.3610237616401,1395.3222076108386,1393.0425150302049,1399.5965966731203,1403.044693020387,1411.5226160482569,1414.6507562754116,1418.8622333150176,1417.5185124120903,1417.9092336544754,1417.7387745129772,1414.2694949246363,1405.9875081560206,1399.1568456667626,1394.4730756290505,1392.4006264198738,1392.6209143469002
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1219.5343371451304,1229.1646237561642,1250.422596422916,1258.1774673265925,1267.352704543036,1268.056706377075,1271.528532433495,1268.3292736815874,1265.239699371196,1264.3365522785025,1259.7729035755958,1256.1424566143512,1253.678426787864,1267.6323832488883,1282.8173993388812,1297.7140290852826,1304.6435052938718,1308.5978090383078,1307.3242711910684,1306.1027707509738,1300.5037749857747,1293.8261143469679,1295.9436576232372,1297.3243382286817,1306.6219697696354,1311.7509683906726,1326.7636982967308,1335.8059492051082,1340.6711744110562,1340.357179237057,1341.111952722841,1341.0942463834615,1339.9809627128382,1336.5705589799495,1335.4692112444561,1337.9000608318377,1342.2051498192625,1351.4227949733745,1364.200916969805,1375.0083571705163,1383.0922911616437,1385.491685265422,1383.943796290617,1382.5416452493002,1381.5859861249285,1386.0761832733626,1390.4950015896663,1388.5876797444128,1392.4262500062025,1398.8006586464119,1414.7190110366937,1423.290320083545,1429.322909166396,1435.2996726563588,1440.1552405865987,1440.491239411522,1437.2585606357486,1437.290004229709,1437.5865270451345,1440.7091900750092,1443.4980413111025,1450.9502498153504,1458.7026006768492,1461.404944361132,1461.045025075962,1461.1824837167237,1463.7042914060369,1460.1683453672613,1454.6683008605287,1450.7711710996907,1451.531826630165,1450.8042692224958,1451.6025431971266,1455.743973851572,1465.3174453495292,1480.572336811683,1498.704538586624,1514.3425867282756,1527.5542796186714,1539.4956594559512,1548.6390199927412,1556.4122975421155,1564.5009428111002,1576.7519499571933,1587.2336277808317,1594.8544707060694,1603.1372349651376,1616.2095813904225,1631.4675611278174,1644.0540771314338,1650.1285110911754,1651.4929003952873,1653.9099471165384,1648.2921828041583,1647.5840127089577,1641.2485164687425,1646.7971901094156,1651.1970142520206,1660.9486908765057,1669.804916390222,1677.4558216748233,1680.3050317937252,1682.9809327268536,1685.2700048145523,1691.4649204655539,1697.0300160889512,1699.7464478929498,1696.4583459324117,1699.1828290326393,1704.3782199814243
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,869.3971951608943,881.1727740699811,888.4308850585554,901.1057944696577,904.5022980044671,912.4305933438645,911.5327303552815,914.2499129149078,917.8583300054737,920.839861976917,923.9719913496436,923.6298114056718,930.5038368596329,935.1320617794355,944.6523087710061,953.2259585210643,963.3884833910145,970.0408027441782,969.5644803693964,968.6739527023946,968.7003433288327,969.776788495891,972.5808479783816,972.5278169514534,979.0318787377514,986.8463195826117,1000.4244003115839,1013.0845722190136,1026.1090390014747,1033.543657428998,1037.3059686123681,1037.540220813215,1038.6456994718574,1043.2649788679882,1044.526424995606,1045.687323006353,1046.7352428604042,1054.5529695138032,1067.3161255644125,1079.8092720531326,1091.39984267639,1099.921206688059,1108.3217303745896,1114.069875009163,1121.0615321926352,1126.5999818284313,1131.330948543925,1136.9025448214632,1140.1341476826328,1149.492291229263,1157.9086737225414,1171.7878776438301,1182.9503348177268,1195.1167216105712,1203.413958457379,1208.9608611004423,1213.316793946219,1215.7273734547662,1222.1422965046115,1230.4556114116049,1239.4515896765695,1247.2278146287083,1252.3457872615134,1255.4529604626248,1256.8410532457308,1260.8693702490075,1270.757091609728,1289.5819018126012,1301.9617318464122,1312.729428547554,1316.3031089879064,1326.072090337188,1334.7073602229734,1346.4254043662454,1367.1929969369382,1399.6462381677666,1443.2241132679535,1487.3069840841188,,1573.3926710287392,1605.3104332475705,1626.0221075518448,1639.5683532113308,1650.342919864878,1660.6264701180496,1671.1572327662661,1684.7848492445307,1698.4095994134404,1709.1610587870473,1719.7247043848672,1727.4331747418134,1727.6057248848851,1721.7863549053825,1713.8347775118732,1709.1013927308136,1703.5403168783093,1695.0085841010655,1693.0816287706057,1702.182233918458,1715.7069704845826,1727.6944060133867,1728.753768865332,1731.8947832298697,1727.1028880693689,1727.7330777834845,1723.588146781315,1714.475740056176,1703.3220703868483,1698.6911541914376,1710.7548360273965
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,978.3523452472946,983.2170601063917,987.8618712059409,995.2670366735161,1001.8051818390633,1008.7214463018215,1013.6249635548944,1017.2612669125266,1020.4929210155688,1019.913064354925,1019.88249496874,1018.9363514026916,1021.515395770561,1025.1868042783417,1029.9535204334986,1037.1582221010772,1046.3357025292798,1058.2442307058443,1063.2208075408482,1065.0345639499374,1064.0446357938451,1064.6783950047106,1064.8304672008196,1063.9627808785867,1069.5004095247418,1076.9610002790116,1087.4241952413383,1094.281357545272,1100.8805232249083,1108.7674151045671,1116.3730188109605,1122.7094653922431,1126.05646505958,1127.2186726665361,1130.095405651778,1133.6473810924447,1137.537040037645,1145.3632347909638,1155.106335645814,1169.685811857384,1180.6579633165957,1189.1134896725953,1196.761529155199,1202.8578970870706,1208.7541881489262,1210.8417672236487,1213.2500044722642,1215.2241295559768,1220.2068492949584,1225.1947660518974,1237.2920571047748,1247.7144361814699,1259.520524309749,1266.1510593378462,1273.3301851480203,1278.7530704462556,1280.6113747250067,1281.0291042303809,1280.4166879650702,1278.409591007607,1278.972335968303,1286.2637441504942,1295.5489395801608,1291.5939170220265,1286.4884015862724,1285.852426587299,1302.522958360492,1318.0706295194084,1336.2969484675739,1349.3283706090065,1358.7424185740128,1364.0848575133969,1373.3546944507868,1388.7390700035157,1406.2732771821622,1429.8431850298452,1468.5942611630874,1520.5440690257378,1572.3216309410795,1621.4674990343617,1657.1354718006303,1682.6691178570127,1685.660631240596,1686.9509342519666,1691.5323268602808,1701.2504809303089,1710.671916849328,1720.3861048889562,1735.3353049919388,1750.809397005698,1765.58129477174,1757.5774036049568,1744.185242451861,1716.3007524782713,1699.530135049075,1682.1115454121298,1679.8192993864645,1682.8945243357362,1693.8765625162082,1702.453157767376,1713.7880076043748,1721.5662264589544,1727.4820325565963,1726.752656984287,1722.0433263804655,1724.3115681941,1721.9312266931868,1718.992000173765,1713.1639841234685,1709.8909819443281
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1711.8830212310154,1723.4305343503065,1734.5526498023705,1736.661137526815,1749.7637492638084,1756.9212519805776,1775.6720331572,1788.6284780204192,1799.434037960676,1804.2966138584509,1804.0441835021884,1808.8994581302502,1815.3932678978995,1823.882090296744,1836.151633706027,1843.1219814898723,1856.195488870557,1870.991969488061,1885.456272654588,1889.1194605562223,1888.8469170594058,1894.8034678524718,1899.6948265443373,1901.6114598473707,1905.9689780631704,1922.975653050707,1942.268121324586,1959.057275130958,1974.1530326690363,1988.9749408825726,2005.5181657036562,2011.3180677240198,2013.3062493550635,2009.5554269592133,2011.5569033192,2013.5586680797276,2023.0173226430977,2035.5592203693611,2050.486994055301,2063.112654368731,2078.60116822776,2089.2337231584124,2102.035900238772,2112.168879290324,2120.22941881811,2121.3931926845294,2111.9294106454504,2116.700220949889,2119.716877863309,2128.6595483739998,2132.7810021762057,2144.029147682613,2155.5715007536833,2167.991278926228,2180.59688022271,2193.640065178586,2196.1180659821225,2194.395161999077,2190.622541990448,2198.2542204071215,2202.7380265769266,2211.126371318945,2211.3408633850504,2200.977499188268,2190.329771923079,2184.136603904385,2194.7345255184114,2201.6971994212317,2211.611334012502,2224.3702027499185,2240.8472894927045,2249.0458779952396,2258.445744719746,2266.8415142957842,2289.3522042630793,2321.837401204222,2361.1904996578805,2406.8473593310255,2458.3264742888414,2516.160467914325,2573.453364515187,2610.406652275328,2634.278079390551,2648.4461476872857,2661.0952769644796,2690.408035605034,2725.2434256569795,2775.407733542395,2818.749716153506,2863.8553432342464,2900.1020161520105,2932.2032519333884,2941.8799569787475,2935.0881747009503,2909.722804056421,2889.687336361951,2883.4315413865725,2891.0287446886778,2916.8998101653165,2944.728551804737,2983.53153043202,3011.383424508618,3034.875412500713,3038.210112664867,3033.3779731659624,3017.982486491034,2997.303707669412,2973.688128226996,2958.6716668827585,2963.458942381194
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1089.4771755060162,1093.9809040601858,1104.4128586295756,1113.1467542190426,1129.0523190790746,1139.5508978832263,1151.289560268329,1152.4474237892616,1154.1157303786783,1159.361381350356,1168.8205747089773,1174.5113235742808,1173.559315933944,1175.636012570185,1183.4978761887564,1194.8035680153591,1201.480290136427,1207.6068717239857,1212.5651167241288,1215.692306968759,1215.7420796907174,1211.3800827572256,1212.6656659886228,1214.1749479105986,1229.1145754199233,1237.8495415846244,1257.4666226070742,1265.7427867499493,1279.1816334947468,1280.5724658655486,1285.0135678913705,1283.2958775485056,1283.531558852418,1279.5524649218498,1287.7161930149016,1290.2014296980744,1296.5395285563004,1304.7326881821464,1309.664354937631,1312.9717890406646,1312.2048120596428,1324.5087875811437,1330.842757664158,1334.0800829340342,1325.7823621603295,1328.691375202373,1325.4763610497487,1329.5944139751434,1333.2054245444167,1341.5906883345526,1352.2012218202826,1359.687073871779,1367.5918286622702,1379.764342900888,1384.5669578076327,1388.4041832467801,1386.6007640198018,1383.7605920176131,1376.832112677914,1367.632300388772,1371.5722153967629,1378.9417680781223,1388.192877640451,1386.6265458727748,1383.2080021893964,1380.5293269052934,1381.3241970219146,1383.2912002993057,1386.6738958833705,1389.1222661754348,1392.0305180554044,1390.6017615959108,1387.4096214354604,1389.0052092559274,1398.132394582543,1421.5628523703313,1451.4074129824917,1485.0338947154285,1517.3995807310125,1544.8834501656386,1568.9228928481566,1580.474690357118,1590.2671498133086,1597.1488107336459,1612.4446933632569,1630.349727969618,1640.2500472792178,1662.4125838520056,1685.8555607580554,1726.9427964903985,1748.7461870723096,1757.500135949823,1751.8148173283619,1733.1074610005649,1721.06224923661,1706.9881927593547,1705.5295181892545,1704.6130450988742,1711.893106887585,1722.7187964180296,1733.4856663968144,1740.845630005422,1743.7562800957146,1746.1952366068692,1745.50237512577,1740.120253092637,1728.5893605338592,1718.5073306136612,1712.6120360185841,1709.8073064244652
